 1 	    2.45 2.40 2.40 2.50 2.45 2.05 1.65 1.00 0.45 0.40 0.55 0.55 0.95
 2          2.55 2.05 1.95 1.90 1.80 1.60 1.30 0.95 0.55 0.65 0.90 0.90 1.05  
 3          2.35 1.90 1.80 1.80 1.80 1.55 1.30 0.95 0.65 0.70 0.90 0.85 1.05
 4          2.50 2.05 1.65 1.65 1.55 1.45 1.25 1.05 0.70 1.05 1.20 1.15 1.10 
 5          2.05 1.50 1.35 1.50 1.55 1.45 1.30 1.15 0.95 1.40 1.55 1.40 1.25
 6          1.55 1.00 0.85 1.00 1.25 1.35 1.50 2.00 2.10 2.55 2.65 2.35 2.00
 7          1.65 0.90 0.65 0.65 0.75 0.95 1.40 1.90 2.15 2.60 2.70 2.60 2.40
 8          1.90 1.30 0.95 0.85 0.75 0.75 0.95 1.30 1.65 2.15 2.30 2.25 2.30
 9          2.40 1.60 1.45 1.25 1.00 0.95 0.80 0.85 1.10 1.50 2.10 2.00 1.65
10          2.70 1.95 1.50 1.30 0.90 0.70 0.55 0.55 0.95 1.45 1.80 1.90 2.00
11  	    2.95 2.70 2.75 2.75 2.70 2.60 2.25 1.00 0.35 0.15 0.30 0.60 1.15     
12          2.40 2.20 2.25 2.20 2.25 2.15 1.85 1.25 0.75 0.75 0.90 1.05 1.10
13          2.25 2.45 2.65 2.65 2.40 2.20 2.05 1.55 0.95 0.85 1.10 1.40 1.65
14          2.00 1.75 1.90 2.30 2.40 2.20 2.00 1.45 1.00 1.05 1.40 1.75 1.80
15          1.25 1.15 1.30 1.65 1.95 1.90 1.80 1.65 1.40 1.70 2.15 2.45 2.60
16          0.45 0.25 0.30 0.40 1.15 1.70 1.95 2.30 2.60 2.95 3.30 3.15 2.60
17          0.40 0.20 0.20 0.30 0.60 1.05 1.35 1.65 2.60 3.05 3.45 3.60 3.40
18          1.00 0.55 0.55 0.45 0.65 0.80 1.15 1.55 2.25 2.75 3.20 3.35 3.25
19          1.30 0.70 0.65 0.45 0.65 0.90 1.20 1.45 1.90 2.40 2.85 2.80 2.45
20          2.15 1.80 1.50 1.05 0.65 0.55 0.65 0.80 0.95 1.55 2.10 2.35 2.60
21   	    2.10 2.00 2.15 2.05 1.95 1.80 1.45 1.10 0.75 0.65 0.75 0.80 0.90
22          2.00 1.70 1.90 1.95 1.90 1.75 1.35 1.15 0.95 1.00 1.10 0.90 0.65
23          1.95 1.80 1.80 1.95 1.95 1.95 1.65 1.25 0.90 0.85 1.05 0.95 0.90
24          1.55 1.40 1.50 1.70 1.85 1.80 1.90 1.80 1.75 1.70 1.70 1.40 1.10
25          1.65 1.25 1.40 1.70 1.90 1.95 2.05 2.10 1.95 1.95 2.15 2.10 1.70
26          0.95 0.55 0.70 1.15 1.65 2.20 2.65 2.95 3.05 3.20 3.35 2.95 1.90
27          1.20 0.65 0.45 0.65 0.75 1.00 1.45 2.10 2.40 2.65 2.80 2.55 1.95
28          1.55 1.45 1.05 1.15 1.05 1.00 1.15 1.45 1.90 2.40 2.70 2.65 1.85
29          1.80 1.05 1.05 1.05 1.00 1.00 1.15 1.40 1.65 1.95 2.15 1.85 1.50
30          2.00 1.70 1.40 1.20 1.00 0.85 0.95 1.00 1.10 1.55 1.80 1.70 1.25
31    	    2.70 2.60 2.55 2.50 2.45 2.40 1.80 1.35 0.70 0.55 0.75 0.85 1.85
32          2.25 1.90 1.85 1.90 2.15 2.05 1.85 1.65 1.35 1.40 1.50 1.90 1.80
33          2.25 2.20 2.30 2.25 2.30 2.20 1.70 1.45 0.90 0.90 1.10 1.25 1.85
34          1.90 1.50 1.40 1.40 1.65 1.75 1.75 1.85 1.60 1.80 1.90 1.65 1.50
35          1.70 1.20 1.05 1.05 1.55 1.70 1.80 1.90 1.85 2.10 2.35 2.40 2.25
36          1.05 0.90 0.45 0.60 1.45 2.05 2.90 2.90 3.00 3.20 3.35 2.95 2.15
37          0.90 0.40 0.45 0.55 1.30 1.80 2.30 2.80 3.10 3.40 3.45 3.00 2.40
38          2.00 1.30 1.05 0.90 0.95 0.90 1.25 1.65 1.80 2.30 2.60 2.60 1.90
39          2.15 1.70 1.45 1.30 1.30 1.25 1.20 1.35 1.45 1.95 2.20 2.25 1.95
40          2.95 2.30 2.05 1.80 1.70 1.45 1.00 0.80 0.80 1.15 1.55 1.90 1.40                    
41    	    3.00 2.45 2.30 2.20 2.10 1.45 1.15 0.80 0.40 0.60 0.45 0.40 0.85
42          2.40 2.10 1.95 1.90 1.80 1.45 1.10 0.90 0.70 0.95 0.95 0.75 1.10
43          2.50 2.40 2.20 2.05 2.05 1.70 1.30 0.95 0.65 0.95 1.00 0.85 1.20
44          2.25 2.10 1.95 1.90 1.90 1.55 1.15 1.00 0.90 1.10 1.05 0.90 1.25
45          1.70 1.95 2.05 2.10 1.95 1.50 1.15 1.15 1.10 1.30 1.30 1.20 1.45
46          1.40 0.85 1.05 1.30 1.55 1.55 1.65 2.00 2.40 2.75 2.80 2.60 2.35
47          1.10 0.70 0.70 0.90 1.15 1.00 1.20 1.80 2.40 2.75 2.80 2.35 2.05
48          1.80 1.05 0.75 0.70 0.70 0.55 0.60 1.20 1.85 2.40 2.45 2.25 2.40
49          1.90 1.25 1.05 0.90 0.95 0.65 0.65 1.25 1.85 2.35 2.35 2.05 2.30
50          2.70 2.05 1.65 1.40 1.15 0.60 0.40 0.50 0.60 1.15 1.40 1.60 1.65          
                     
